Date time,Volume [mV],Light_Level [Ohms],Temperature-DHT [Celsius],Pressure [Hectopascal],Temperature-BMP [Celsius],Relative_Humidity [%],Air_Quality [Ohms],Carbon_Monoxide [Ohms],Nitrogen_Dioxide [Ohms]
2016-11-27 17:22:45,133.0645161,5064.140045,24.05,1024.434757,24.13,37.7800005,40776.51523,283808.1869,14849.59631
2016-11-27 17:27:45,96.93548387,5075.234701,24.5249999,1024.494539,24.52,36.87999973,40661.05341,286562.2566,15359.88699
2016-11-27 17:32:46,97.90322581,5074.103939,25.04500017,1024.583963,24.895,35.70500011,40666.63465,293985.7963,15772.13696
2016-11-27 17:37:46,105.6451613,5086.325929,25.33499947,1024.633698,25.08,34.80999966,40574.7269,298587.8165,16150.72702
2016-11-27 17:42:46,130.8064516,5086.339059,26.7499999,1024.743719,25.25,34.43500042,40546.07795,299600.9932,16506.56816
2016-11-27 17:47:46,132.7419355,4870789.895,26.75999994,1024.816061,25.325,34.34000015,40353.53784,301329.4598,16865.11873
2016-11-27 17:52:47,97.74193548,5105000,25.75499983,1024.902972,25.45,33.81500034,39591.98782,288121.4705,16942.36217
2016-11-27 17:57:47,95.32258065,7918250,26.16500025,1024.965267,25.625,32.99000034,39265.50288,292264.8016,17085.10391
2016-11-27 18:02:47,95.64516129,10220000,26.31499929,1024.997922,25.725,32.46500015,39204.78346,291173.9092,17240.13454
2016-11-27 18:07:47,91.29032258,10220000,26.31499929,1025.017012,25.81,32.26000023,39249.18073,290014.9343,17374.99968
2016-11-27 18:12:48,94.03225806,10220000,26.40999966,1025.097895,25.85,32.05999975,38541.91845,283279.1778,17459.4504
2016-11-27 18:17:48,98.87096774,10220000,26.48499994,1025.169233,25.895,31.7050004,39177.21463,287946.2142,17544.47439
2016-11-27 18:22:48,97.25806452,10220000,26.57000017,1025.254637,25.785,31.4500001,38667.48325,286214.6993,17637.51034
2016-11-27 18:27:49,91.77419355,7918250,26.79999924,1025.320448,25.665,30.76000023,38152.95135,285318.3345,17682.36651
2016-11-27 18:32:49,94.35483871,7406750,26.86499949,1025.430469,25.585,30.51000004,38115.36945,284712.9395,17742.43155
2016-11-27 18:37:49,94.35483871,10220000,26.95999985,1025.531949,25.555,30.57999983,37982.82676,284212.7572,17776.41444
2016-11-27 18:42:49,93.70967742,10220000,27.01000004,1025.597761,25.615,30.58000031,37993.32321,285307.5934,17817.84963
2016-11-27 18:47:50,98.38709677,10220000,26.94499979,1025.721848,25.525,30.28500023,38660.18286,287442.9526,17905.12351
2016-11-27 18:52:50,99.67741935,10220000,27.06000023,1025.805242,25.36,30.35999966,38333.24071,288181.9993,18000.61597
2016-11-27 18:57:50,92.74193548,10220000,26.98499994,1025.882609,25.25,30.17500019,38429.72435,288457.5661,18069.76739
2016-11-27 19:02:50,94.35483871,10220000,26.96999989,1025.976553,25.28,30.14000006,38456.38186,287428.2991,18088.99594
2016-11-27 19:07:51,93.70967742,10220000,27.00500002,1026.074014,25.23,30.04500017,38402.4966,287661.3755,18100.54569
2016-11-27 19:12:51,93.22580645,10220000,27.01500006,1026.146859,25.155,29.9749999,38677.61251,287618.0937,18127.7074
2016-11-27 19:17:51,91.93548387,7665504.821,27.04000015,1026.194585,25.305,29.95999985,38552.44652,273750.6736,18001.85125
2016-11-27 19:22:51,149.8387097,10220000,26.78999939,1026.304103,25.665,29.79499979,38333.97452,276657.96,17898.13212
2016-11-27 19:27:52,97.09677419,10220000,26.66000032,1026.438741,25.59,29.74500027,39327.25488,284333.5842,17931.96723
2016-11-27 19:32:52,91.77419355,10220000,26.53000011,1026.534192,25.47,29.94999981,39193.90864,267199.9136,17750.35299
2016-11-27 19:37:52,95,10220000,26.61500044,1026.621606,25.435,29.79499969,38910.76678,264727.8915,17477.94165
2016-11-27 19:42:52,91.93548387,10220000,26.68500071,1026.705503,25.505,29.64000044,38672.05954,267146.1541,17408.01924
2016-11-27 19:47:53,95.64516129,10220000,26.64500055,1026.718063,25.435,29.67000017,38796.40482,265035.9089,17298.66302
2016-11-27 19:52:53,92.90322581,10220000,26.77999954,1026.772822,25.34,29.38499966,38365.28828,254562.5703,16946.23101
2016-11-27 19:57:53,90.48387097,10220000,26.85499945,1026.782869,25.315,29.23500013,38195.31316,257163.6957,16654.62703
2016-11-27 20:02:53,97.74193548,10220000,26.78499994,1026.880833,25.31,29.27999983,38752.99915,261729.9857,16661.69163
2016-11-27 20:07:54,88.38709677,10220000,26.80499954,1026.941118,25.315,29.26000013,38704.00121,257434.348,16482.29492
2016-11-27 20:12:54,94.35483871,10220000,26.81999931,1026.959204,25.315,29.17500029,37894.58803,247406.2865,16204.17534
2016-11-27 20:17:54,89.03225806,10220000,26.85499945,1027.004418,25.26,29.05500021,37773.55485,253203.0245,16047.27042
2016-11-27 20:22:55,90.80645161,10220000,26.80999956,1027.107908,25.315,29.1000001,37777.03847,252641.0192,15928.34727
2016-11-27 20:27:55,89.51612903,10220000,26.82499933,1027.174724,25.26,29.03000011,37779.22378,250949.3678,15872.60691
2016-11-27 20:32:55,92.41935484,8685500,26.88499956,1027.24154,25.155,28.97499981,37346.68544,239631.4091,15585.03087
2016-11-27 20:37:55,91.93548387,6554250,26.85499945,1027.34503,25.245,28.95499983,37900.20935,247360.4236,15384.69354
2016-11-27 20:42:56,93.06451613,10220000,26.77499962,1027.42742,25.205,28.97999992,38083.94113,255882.8977,15572.1296
2016-11-27 20:47:56,92.09677419,10220000,26.84499941,1027.442491,25.145,28.83499966,37632.29991,245520.1534,15495.43597
2016-11-27 20:52:56,94.35483871,10220000,26.75999985,1027.538445,25.24,28.95999985,37638.46054,252874.013,15536.84458
2016-11-27 20:57:56,151.6129032,10220000,26.78499947,1027.632892,25.145,28.91999969,37504.40292,247844.6027,15460.69003
2016-11-27 21:02:57,96.4516129,10220000,26.74499979,1027.668058,25.125,28.92999973,37482.65338,248097.62,15365.90633
2016-11-27 21:07:57,97.90322581,10220000,26.76499977,1027.736382,25.1,28.85999947,37440.03197,249123.3913,15356.35607
2016-11-27 21:12:57,91.29032258,10220000,26.74999971,1027.878052,25.1,28.81999969,37879.52409,252332.9615,15372.31434
2016-11-27 21:17:57,92.25806452,10220000,26.74500008,1027.955921,25.12,28.84999943,37946.32196,247680.4961,15381.52061
2016-11-27 21:22:58,90.80645161,10220000,26.78999939,1027.993599,25.115,28.77999954,37825.95557,242256.9875,15262.60089
2016-11-27 21:27:58,95.80645161,10220000,26.79999924,1028.058406,25.01,28.6550005,37756.38588,243323.6788,15052.10297
2016-11-27 21:32:58,96.61290323,10220000,26.79999924,1028.150341,25,28.56500025,37564.82329,243871.4793,15039.82701
2016-11-27 21:37:58,89.83870968,10220000,26.77999954,1028.193043,24.985,28.59500036,37852.41516,247354.7388,14993.95322
2016-11-27 21:42:59,91.93548387,10220000,26.67500067,1028.231726,25.005,28.66000061,37732.33273,255274.3489,15209.57892
2016-11-27 21:47:59,92.74193548,10220000,26.70500069,1028.296533,24.995,28.57000027,37059.37828,247295.448,15212.61335
